Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
1b4682zEGUE8qKt7ej6p3o39BjwcJ4jtH,1b4682zEGUE8qKt7ej6p3o39BjwcJ4jtH,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
15H9iYDy3pgUL7k2sRBnhtVm9s6z18r1Mx,15H9iYDy3pgUL7k2sRBnhtVm9s6z18r1Mx,,Bitcoin Wallet,5,0.27002,0.275351,0,16,0,0,0.000265
1Bhd2tJAZM26oRYVmFevMjFbqLAqX7P7dz,1Bhd2tJAZM26oRYVmFevMjFbqLAqX7P7dz,,Bitcoin Wallet,5,0.270585,0.276318,0,24,0,0,0.000264
13v5uWLgVpDA9DDhLTE7VNovtaG4LU6SdA,13v5uWLgVpDA9DDhLTE7VNovtaG4LU6SdA,,Bitcoin Wallet,4,0.368778,0.381793,2066,192,0,0,0.000468
1aekMz4gVJCnr9dapCw6YgGdeYMY2hcYt,1aekMz4gVJCnr9dapCw6YgGdeYMY2hcYt,,Bitcoin Wallet,5,0.269843,0.274988,0,23,0,0,0.000244
1GXkRAq5E4isNqSTUBDbVBK9ESJk6G8Gom,1GXkRAq5E4isNqSTUBDbVBK9ESJk6G8Gom,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1FALas7sbwvt8YXUnrhDuHMHN2EHrKvCHn,1FALas7sbwvt8YXUnrhDuHMHN2EHrKvCHn,,Bitcoin Wallet,5,0.269492,0.274464,0,11,0,0,0.00025
1JHWqfdo1MsDdJx1qXWnwqdVqnF9M4VnGC,1JHWqfdo1MsDdJx1qXWnwqdVqnF9M4VnGC,,Bitcoin Wallet,5,0.269738,0.274867,0,6,0,0,0.000267
1G7dvMhaY7aXsxnF3sbcUX9UJ3FgdrJNJ3,1G7dvMhaY7aXsxnF3sbcUX9UJ3FgdrJNJ3,,Bitcoin Wallet,4,0.368778,0.381793,2066,153,0,0,0.000468
1HjhV8ChAk2vRJbaZDDaUcekQUS8ZMFaux,1HjhV8ChAk2vRJbaZDDaUcekQUS8ZMFaux,,Bitcoin Wallet,5,0.271509,0.277891,0,5,0,0,0.000263
1JXJVJq2MjsPE6hQMxfi831zfUCfV1PR6x,1JXJVJq2MjsPE6hQMxfi831zfUCfV1PR6x,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1F3NB51kGBCK5HVqs4c3ptnHi5GMuyuBA1,1F3NB51kGBCK5HVqs4c3ptnHi5GMuyuBA1,,Bitcoin Wallet,5,0.278459,0.289381,0,8,0,0,0.00026
